"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","RSI ‌rsi‌ (14)"
"Fri Sep 02 2022 12:25:00 GMT+0530 (India Standard Time)","17568.65","17574.25","17563.35","17571.65","0.01","0.01","0","17538.41","17564.72","17580.27","63.88"
"Fri Sep 02 2022 12:30:00 GMT+0530 (India Standard Time)","17572.00","17575.00","17564.20","17565.25","-0.04","-0.04","0","17538.72","17565.93","17580.27","60.19"
"Fri Sep 02 2022 12:35:00 GMT+0530 (India Standard Time)","17565.60","17569.25","17551.55","17555.80","-0.05","-0.05","0","17538.64","17567.03","17580.27","55.12"
"Fri Sep 02 2022 12:40:00 GMT+0530 (India Standard Time)","17555.55","17574.55","17554.95","17567.30","0.07","0.07","0","17539.13","17568.24","17580.27","59.58"
"Fri Sep 02 2022 12:45:00 GMT+0530 (India Standard Time)","17567.55","17570.90","17559.70","17564.15","-0.02","-0.02","0","17539.43","17569.49","17580.27","57.88"
"Fri Sep 02 2022 12:50:00 GMT+0530 (India Standard Time)","17565.10","17575.05","17565.10","17571.05","0.04","0.04","0","17539.99","17570.82","17580.27","60.53"
"Fri Sep 02 2022 12:55:00 GMT+0530 (India Standard Time)","17570.65","17585.50","17570.65","17577.35","0.04","0.04","0","17541.37","17572.16","17580.27","62.83"
"Fri Sep 02 2022 13:00:00 GMT+0530 (India Standard Time)","17577.50","17586.30","17571.65","17571.65","-0.03","-0.03","0","17542.11","17573.46","17580.27","59.46"
"Fri Sep 02 2022 13:05:00 GMT+0530 (India Standard Time)","17572.50","17579.10","17567.65","17578.45","0.04","0.04","0","17542.58","17574.89","17580.27","62.07"
"Fri Sep 02 2022 13:10:00 GMT+0530 (India Standard Time)","17578.70","17587.10","17578.15","17585.55","0.04","0.04","0","17543.41","17576.26","17580.27","64.64"
"Fri Sep 02 2022 13:15:00 GMT+0530 (India Standard Time)","17586.10","17595.10","17586.10","17591.95","0.04","0.04","0","17544.22","17577.62","17534.53","66.82"
"Fri Sep 02 2022 13:20:00 GMT+0530 (India Standard Time)","17591.65","17597.40","17583.95","17585.45","-0.04","-0.04","0","17544.67","17578.85","17541.99","62.60"
"Fri Sep 02 2022 13:25:00 GMT+0530 (India Standard Time)","17586.00","17588.20","17579.15","17586.05","0","0","0","17544.73","17579.56","17541.99","62.83"
"Fri Sep 02 2022 13:30:00 GMT+0530 (India Standard Time)","17586.05","17591.90","17586.05","17590.05","0.02","0.02","0","17544.50","17580.19","17541.99","64.43"
"Fri Sep 02 2022 13:35:00 GMT+0530 (India Standard Time)","17591.25","17591.55","17578.35","17582.70","-0.04","-0.04","0","17544.78","17580.83","17543.09","59.39"
"Fri Sep 02 2022 13:40:00 GMT+0530 (India Standard Time)","17582.40","17583.60","17572.15","17579.50","-0.02","-0.02","0","17545.36","17581.38","17543.09","57.29"
"Fri Sep 02 2022 13:45:00 GMT+0530 (India Standard Time)","17579.55","17595.10","17572.85","17592.50","0.07","0.07","0","17546.60","17582.03","17543.09","63.01"
"Fri Sep 02 2022 13:50:00 GMT+0530 (India Standard Time)","17591.75","17596.65","17582.55","17588.70","-0.02","-0.02","0","17547.53","17582.65","17545.48","60.46"
"Fri Sep 02 2022 13:55:00 GMT+0530 (India Standard Time)","17589.70","17594.60","17583.10","17592.30","0.02","0.02","0","17548.29","17583.27","17545.48","62.03"
"Fri Sep 02 2022 14:00:00 GMT+0530 (India Standard Time)","17591.95","17608.45","17591.30","17608.40","0.09","0.09","0","17550.06","17583.98","17546.09","68.12"
"Fri Sep 02 2022 14:05:00 GMT+0530 (India Standard Time)","17608.85","17618.55","17607.05","17615.00","0.04","0.04","0","17552.16","17584.68","17561.94","70.23"
"Fri Sep 02 2022 14:10:00 GMT+0530 (India Standard Time)","17614.15","17617.60","17606.30","17612.95","-0.01","-0.01","0","17554.58","17585.39","17569.11","68.71"
"Fri Sep 02 2022 14:15:00 GMT+0530 (India Standard Time)","17612.75","17623.45","17609.05","17613.50","0","0","0","17556.82","17586.02","17569.11","68.90"
"Fri Sep 02 2022 14:20:00 GMT+0530 (India Standard Time)","17613.25","17616.70","17602.90","17603.25","-0.06","-0.06","0","17558.96","17586.63","17569.11","61.26"
"Fri Sep 02 2022 14:25:00 GMT+0530 (India Standard Time)","17602.75","17610.90","17600.20","17608.00","0.03","0.03","0","17561.11","17587.31","17569.11","63.29"
"Fri Sep 02 2022 14:30:00 GMT+0530 (India Standard Time)","17607.55","17609.00","17579.70","17581.90","-0.15","-0.15","0","17562.49","17587.85","17569.11","48.31"
"Fri Sep 02 2022 14:35:00 GMT+0530 (India Standard Time)","17582.25","17587.75","17568.95","17568.95","-0.07","-0.07","0","17563.22","17588.27","17569.11","42.88"
"Fri Sep 02 2022 14:40:00 GMT+0530 (India Standard Time)","17568.75","17577.65","17565.50","17566.05","-0.02","-0.02","0","17563.87","17588.68","17615.91","41.75"
"Fri Sep 02 2022 14:45:00 GMT+0530 (India Standard Time)","17565.45","17565.45","17546.45","17557.95","-0.05","-0.05","0","17564.49","17588.99","17612.51","38.68"
"Fri Sep 02 2022 14:50:00 GMT+0530 (India Standard Time)","17558.20","17558.75","17534.00","17547.30","-0.06","-0.06","0","17564.62","17589.14","17605.00","35.03"
"Fri Sep 02 2022 14:55:00 GMT+0530 (India Standard Time)","17547.90","17556.20","17541.65","17545.35","-0.01","-0.01","0","17564.74","17589.23","17595.64","34.40"
"Fri Sep 02 2022 15:00:00 GMT+0530 (India Standard Time)","17546.05","17551.25","17526.75","17531.80","-0.08","-0.08","0","17564.85","17589.26","17593.47","30.26"
"Fri Sep 02 2022 15:05:00 GMT+0530 (India Standard Time)","17532.00","17541.90","17518.85","17540.60","0.05","0.05","0","17565.28","17589.33","17581.13","35.67"
