symbol,roc1M,roc3M,roc6M,roc12M,volatility6M,volatility12M,sharpe6MRoC,sharpe6M,FIP6M,sharpe12MRoC,sharpe12M,FIP12M,Beta,Close,ema100d,BuyQty,Rank
AXISBANK.NS,3.61,27.35,46.63,37.61,25.68,28.96,1.82,3.12,32,1.30,1.26,39,1.04,933.75,846.63,32.00,1
ADANIENT.NS,-1.52,11.65,76.11,125.71,33.27,37.16,2.29,3.59,31,3.38,2.41,52,1.38,3858.35,3533.71,7.00,2
SBIN.NS,1.87,15.66,31.72,33.28,22.31,26.17,1.42,2.59,19,1.27,1.24,23,1.07,613.70,571.97,48.00,3
INDUSINDBK.NS,4.48,2.94,53.60,37.38,31.42,34.89,1.71,2.90,17,1.07,1.10,6,1.37,1220.10,1141.70,24.00,4
BRITANNIA.NS,-1.26,12.08,24.26,19.45,22.59,23.70,1.07,2.04,15,0.82,0.88,28,0.56,4307.45,4038.22,6.00,5
BHARTIARTL.NS,-5.03,0.78,17.69,17.89,20.81,23.45,0.85,1.68,15,0.76,0.83,16,0.75,806.10,794.65,37.00,6
HEROMOTOCO.NS,-3.96,7.44,0.70,11.24,21.17,28.74,0.03,0.17,15,0.39,0.52,30,0.90,2738.85,2708.80,10.00,7
ITC.NS,-2.49,-0.20,21.22,52.05,18.56,21.38,1.14,2.18,14,2.43,2.10,31,0.63,331.55,329.58,90.00,8
JSWSTEEL.NS,3.32,21.59,36.06,17.09,26.34,36.50,1.37,2.48,13,0.47,0.62,14,1.19,768.05,696.43,39.00,9
COALINDIA.NS,-0.97,6.03,21.26,54.09,24.46,35.27,0.87,1.71,13,1.53,1.42,21,0.82,225.05,225.04,133.00,10
LT.NS,0.53,12.89,33.86,10.02,20.96,25.15,1.62,2.90,9,0.40,0.51,2,1.09,2085.80,1984.17,14.00,11
M&M.NS,-4.32,-1.50,14.28,49.22,25.28,28.65,0.56,1.19,9,1.72,1.56,22,1.00,1249.20,1239.35,24.00,12
ICICIBANK.NS,-6.51,3.35,25.97,20.36,19.26,23.06,1.35,2.50,7,0.88,0.93,14,1.03,890.85,884.59,33.00,13
HDFCBANK.NS,1.22,14.55,20.78,10.05,19.21,25.75,1.08,2.07,7,0.39,0.50,8,1.10,1628.15,1537.33,18.00,14
SUNPHARMA.NS,-4.27,5.56,20.56,18.41,19.86,22.74,1.04,1.99,7,0.81,0.87,-1,0.59,1001.40,971.61,29.00,15
NTPC.NS,-3.34,4.26,16.48,33.80,21.95,26.17,0.75,1.51,7,1.29,1.26,17,0.64,166.45,165.59,180.00,16
