symbol,roc1M,roc3M,roc6M,roc12M,volatility6M,volatility12M,sharpe6MRoC,sharpe6M,FIP6M,sharpe12MRoC,sharpe12M,FIP12M,Beta,Close,ema100d
LAURUSLABS.NS,0.67,-15.67,-38.31,-46.37,31.13,30.72,-1.23,-3.45,-32,-1.51,-1.70,-32,0.69,316.45,385.41
ATUL.NS,-0.93,-15.63,-22.79,-32.30,22.20,24.95,-1.03,-2.87,-24,-1.29,-0.91,-28,0.57,6967.60,7761.86
ICICIPRULI.NS,-0.35,-9.72,-22.53,-18.66,27.00,28.26,-0.83,-2.66,-20,-0.66,-0.21,-1,0.87,407.45,458.18
PAGEIND.NS,-1.85,-13.00,-26.45,-13.71,23.11,25.54,-1.14,-2.33,-20,-0.54,-0.15,-12,0.72,37266.05,42292.85
BIOCON.NS,-2.42,-14.61,-23.15,-33.37,24.80,27.00,-0.93,-2.41,-19,-1.24,-1.41,-25,0.74,223.60,255.95
CIPLA.NS,-3.22,-18.47,-21.32,-13.83,21.28,22.71,-1.00,-1.76,-18,-0.61,-0.39,-11,0.47,877.25,1035.66
BAJAJFINSV.NS,3.44,-10.79,-17.73,-19.06,26.31,31.14,-0.67,-1.56,-17,-0.61,-0.12,-13,1.30,1380.80,1465.35
CROMPTON.NS,1.22,-8.59,-25.33,-17.77,26.49,28.99,-0.96,-2.31,-17,-0.61,-0.64,-16,0.56,307.55,336.61
BATAINDIA.NS,1.41,-13.22,-21.44,-27.04,19.14,23.63,-1.12,-3.02,-16,-1.14,-0.83,-20,0.88,1431.05,1598.96
INTELLECT.NS,0.84,1.68,-12.31,-52.03,39.05,42.27,-0.32,-1.46,-16,-1.23,-0.89,-16,1.33,453.70,466.82
