Company Name,Industry,Symbol,Series,ISIN Code                                                                                                                                                                                                               
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
