Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,"MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)",RSI ‌rsi‌ (14),Day,Month,Dt,Year,Time,OpenClose,HighLow
Fri Sep 02 2022 12:25:00 GMT+0530 (India Standard Time),17568.65,17574.25,17563.35,17571.65,0.01,0.01,0,17538.41,17564.72,17580.27,63.88,Fri,Sep,02,2022,12:25:00,0.0171,-0.0621
Fri Sep 02 2022 12:30:00 GMT+0530 (India Standard Time),17572.0,17575.0,17564.2,17565.25,-0.04,-0.04,0,17538.72,17565.93,17580.27,60.19,Fri,Sep,02,2022,12:30:00,-0.0384,-0.0615
Fri Sep 02 2022 12:35:00 GMT+0530 (India Standard Time),17565.6,17569.25,17551.55,17555.8,-0.05,-0.05,0,17538.64,17567.03,17580.27,55.12,Fri,Sep,02,2022,12:35:00,-0.0558,-0.1008
Fri Sep 02 2022 12:40:00 GMT+0530 (India Standard Time),17555.55,17574.55,17554.95,17567.3,0.07,0.07,0,17539.13,17568.24,17580.27,59.58,Fri,Sep,02,2022,12:40:00,0.0669,-0.1116
Fri Sep 02 2022 12:45:00 GMT+0530 (India Standard Time),17567.55,17570.9,17559.7,17564.15,-0.02,-0.02,0,17539.43,17569.49,17580.27,57.88,Fri,Sep,02,2022,12:45:00,-0.0194,-0.0638
Fri Sep 02 2022 12:50:00 GMT+0530 (India Standard Time),17565.1,17575.05,17565.1,17571.05,0.04,0.04,0,17539.99,17570.82,17580.27,60.53,Fri,Sep,02,2022,12:50:00,0.0339,-0.0566
Fri Sep 02 2022 12:55:00 GMT+0530 (India Standard Time),17570.65,17585.5,17570.65,17577.35,0.04,0.04,0,17541.37,17572.16,17580.27,62.83,Fri,Sep,02,2022,12:55:00,0.0381,-0.0845
Fri Sep 02 2022 13:00:00 GMT+0530 (India Standard Time),17577.5,17586.3,17571.65,17571.65,-0.03,-0.03,0,17542.11,17573.46,17580.27,59.46,Fri,Sep,02,2022,13:00:00,-0.0333,-0.0834
Fri Sep 02 2022 13:05:00 GMT+0530 (India Standard Time),17572.5,17579.1,17567.65,17578.45,0.04,0.04,0,17542.58,17574.89,17580.27,62.07,Fri,Sep,02,2022,13:05:00,0.0338,-0.0652
Fri Sep 02 2022 13:10:00 GMT+0530 (India Standard Time),17578.7,17587.1,17578.15,17585.55,0.04,0.04,0,17543.41,17576.26,17580.27,64.64,Fri,Sep,02,2022,13:10:00,0.039,-0.0509
Fri Sep 02 2022 13:15:00 GMT+0530 (India Standard Time),17586.1,17595.1,17586.1,17591.95,0.04,0.04,0,17544.22,17577.62,17534.53,66.82,Fri,Sep,02,2022,13:15:00,0.0333,-0.0512
Fri Sep 02 2022 13:20:00 GMT+0530 (India Standard Time),17591.65,17597.4,17583.95,17585.45,-0.04,-0.04,0,17544.67,17578.85,17541.99,62.6,Fri,Sep,02,2022,13:20:00,-0.0353,-0.0765
Fri Sep 02 2022 13:25:00 GMT+0530 (India Standard Time),17586.0,17588.2,17579.15,17586.05,0.0,0.0,0,17544.73,17579.56,17541.99,62.83,Fri,Sep,02,2022,13:25:00,0.0003,-0.0515
Fri Sep 02 2022 13:30:00 GMT+0530 (India Standard Time),17586.05,17591.9,17586.05,17590.05,0.02,0.02,0,17544.5,17580.19,17541.99,64.43,Fri,Sep,02,2022,13:30:00,0.0227,-0.0333
Fri Sep 02 2022 13:35:00 GMT+0530 (India Standard Time),17591.25,17591.55,17578.35,17582.7,-0.04,-0.04,0,17544.78,17580.83,17543.09,59.39,Fri,Sep,02,2022,13:35:00,-0.0486,-0.0751
Fri Sep 02 2022 13:40:00 GMT+0530 (India Standard Time),17582.4,17583.6,17572.15,17579.5,-0.02,-0.02,0,17545.36,17581.38,17543.09,57.29,Fri,Sep,02,2022,13:40:00,-0.0165,-0.0652
Fri Sep 02 2022 13:45:00 GMT+0530 (India Standard Time),17579.55,17595.1,17572.85,17592.5,0.07,0.07,0,17546.6,17582.03,17543.09,63.01,Fri,Sep,02,2022,13:45:00,0.0736,-0.1266
Fri Sep 02 2022 13:50:00 GMT+0530 (India Standard Time),17591.75,17596.65,17582.55,17588.7,-0.02,-0.02,0,17547.53,17582.65,17545.48,60.46,Fri,Sep,02,2022,13:50:00,-0.0173,-0.0802
Fri Sep 02 2022 13:55:00 GMT+0530 (India Standard Time),17589.7,17594.6,17583.1,17592.3,0.02,0.02,0,17548.29,17583.27,17545.48,62.03,Fri,Sep,02,2022,13:55:00,0.0148,-0.0654
Fri Sep 02 2022 14:00:00 GMT+0530 (India Standard Time),17591.95,17608.45,17591.3,17608.4,0.09,0.09,0,17550.06,17583.98,17546.09,68.12,Fri,Sep,02,2022,14:00:00,0.0934,-0.0975
Fri Sep 02 2022 14:05:00 GMT+0530 (India Standard Time),17608.85,17618.55,17607.05,17615.0,0.04,0.04,0,17552.16,17584.68,17561.94,70.23,Fri,Sep,02,2022,14:05:00,0.0349,-0.0653
Fri Sep 02 2022 14:10:00 GMT+0530 (India Standard Time),17614.15,17617.6,17606.3,17612.95,-0.01,-0.01,0,17554.58,17585.39,17569.11,68.71,Fri,Sep,02,2022,14:10:00,-0.0068,-0.0642
Fri Sep 02 2022 14:15:00 GMT+0530 (India Standard Time),17612.75,17623.45,17609.05,17613.5,0.0,0.0,0,17556.82,17586.02,17569.11,68.9,Fri,Sep,02,2022,14:15:00,0.0043,-0.0818
Fri Sep 02 2022 14:20:00 GMT+0530 (India Standard Time),17613.25,17616.7,17602.9,17603.25,-0.06,-0.06,0,17558.96,17586.63,17569.11,61.26,Fri,Sep,02,2022,14:20:00,-0.0568,-0.0784
Fri Sep 02 2022 14:25:00 GMT+0530 (India Standard Time),17602.75,17610.9,17600.2,17608.0,0.03,0.03,0,17561.11,17587.31,17569.11,63.29,Fri,Sep,02,2022,14:25:00,0.0298,-0.0608
Fri Sep 02 2022 14:30:00 GMT+0530 (India Standard Time),17607.55,17609.0,17579.7,17581.9,-0.15,-0.15,0,17562.49,17587.85,17569.11,48.31,Fri,Sep,02,2022,14:30:00,-0.1459,-0.1667
Fri Sep 02 2022 14:35:00 GMT+0530 (India Standard Time),17582.25,17587.75,17568.95,17568.95,-0.07,-0.07,0,17563.22,17588.27,17569.11,42.88,Fri,Sep,02,2022,14:35:00,-0.0757,-0.107
Fri Sep 02 2022 14:40:00 GMT+0530 (India Standard Time),17568.75,17577.65,17565.5,17566.05,-0.02,-0.02,0,17563.87,17588.68,17615.91,41.75,Fri,Sep,02,2022,14:40:00,-0.0154,-0.0692
Fri Sep 02 2022 14:45:00 GMT+0530 (India Standard Time),17565.45,17565.45,17546.45,17557.95,-0.05,-0.05,0,17564.49,17588.99,17612.51,38.68,Fri,Sep,02,2022,14:45:00,-0.0427,-0.1083
Fri Sep 02 2022 14:50:00 GMT+0530 (India Standard Time),17558.2,17558.75,17534.0,17547.3,-0.06,-0.06,0,17564.62,17589.14,17605.0,35.03,Fri,Sep,02,2022,14:50:00,-0.0621,-0.1412
Fri Sep 02 2022 14:55:00 GMT+0530 (India Standard Time),17547.9,17556.2,17541.65,17545.35,-0.01,-0.01,0,17564.74,17589.23,17595.64,34.4,Fri,Sep,02,2022,14:55:00,-0.0145,-0.0829
Fri Sep 02 2022 15:00:00 GMT+0530 (India Standard Time),17546.05,17551.25,17526.75,17531.8,-0.08,-0.08,0,17564.85,17589.26,17593.47,30.26,Fri,Sep,02,2022,15:00:00,-0.0813,-0.1398
Fri Sep 02 2022 15:05:00 GMT+0530 (India Standard Time),17532.0,17541.9,17518.85,17540.6,0.05,0.05,0,17565.28,17589.33,17581.13,35.67,Fri,Sep,02,2022,15:05:00,0.049,-0.1316
Fri Sep 02 2022 15:10:00 GMT+0530 (India Standard Time),17540.2,17557.75,17540.2,17550.75,0.06,0.06,0,17565.72,17589.44,17581.13,41.32,Fri,Sep,02,2022,15:10:00,0.0601,-0.1001
Fri Sep 02 2022 15:15:00 GMT+0530 (India Standard Time),17551.5,17560.6,17537.2,17537.2,-0.08,-0.08,0,17566.03,17589.42,17581.13,36.69,Fri,Sep,02,2022,15:15:00,-0.0815,-0.1334
Fri Sep 02 2022 15:20:00 GMT+0530 (India Standard Time),17537.7,17546.6,17532.55,17539.25,0.01,0.01,0,17566.16,17589.4,17581.13,37.82,Fri,Sep,02,2022,15:20:00,0.0088,-0.0801
Fri Sep 02 2022 15:25:00 GMT+0530 (India Standard Time),17538.55,17539.4,17520.2,17527.85,-0.06,-0.06,0,17566.06,17589.35,17581.13,34.15,Fri,Sep,02,2022,15:25:00,-0.061,-0.1096
Mon Sep 05 2022 09:15:00 GMT+0530 (India Standard Time),17546.45,17616.0,17546.45,17612.0,0.48,0.48,0,17567.64,17589.71,17579.06,62.82,Mon,Sep,05,2022,09:15:00,0.3722,-0.3964
Mon Sep 05 2022 09:20:00 GMT+0530 (India Standard Time),17613.35,17614.6,17582.45,17599.0,-0.07,-0.07,0,17568.99,17589.97,17550.63,58.58,Mon,Sep,05,2022,09:20:00,-0.0815,-0.1829
Mon Sep 05 2022 09:25:00 GMT+0530 (India Standard Time),17599.95,17608.05,17571.2,17594.7,-0.02,-0.02,0,17570.51,17590.18,17550.63,57.2,Mon,Sep,05,2022,09:25:00,-0.0298,-0.2097
Mon Sep 05 2022 09:30:00 GMT+0530 (India Standard Time),17594.8,17632.2,17591.55,17631.55,0.21,0.21,0,17572.86,17590.64,17550.63,64.83,Mon,Sep,05,2022,09:30:00,0.2084,-0.2311
Mon Sep 05 2022 09:35:00 GMT+0530 (India Standard Time),17631.45,17639.2,17619.65,17626.95,-0.03,-0.03,0,17574.59,17591.01,17563.55,63.31,Mon,Sep,05,2022,09:35:00,-0.0255,-0.111
Mon Sep 05 2022 09:40:00 GMT+0530 (India Standard Time),17626.75,17646.1,17625.3,17637.8,0.06,0.06,0,17576.6,17591.48,17563.55,65.37,Mon,Sep,05,2022,09:40:00,0.0626,-0.118
Mon Sep 05 2022 09:45:00 GMT+0530 (India Standard Time),17638.8,17640.5,17619.9,17621.6,-0.09,-0.09,0,17578.25,17591.85,17570.49,59.96,Mon,Sep,05,2022,09:45:00,-0.0976,-0.1169
Mon Sep 05 2022 09:50:00 GMT+0530 (India Standard Time),17622.15,17638.55,17608.85,17637.55,0.09,0.09,0,17580.18,17592.23,17570.49,63.19,Mon,Sep,05,2022,09:50:00,0.0873,-0.1687
Mon Sep 05 2022 09:55:00 GMT+0530 (India Standard Time),17638.75,17643.7,17630.45,17634.5,-0.02,-0.02,0,17581.89,17592.56,17570.49,62.16,Mon,Sep,05,2022,09:55:00,-0.0241,-0.0752
